status,path,decision,category,rationale
 M,Makefile,include,build_config,Build configuration and backend build targets.
 M,README.md,include,release_facing_doc,Release-facing documentation.
 M,docs/README.md,include,release_facing_doc,Release-facing documentation.
 M,docs/features/README.md,include,release_facing_doc,Release-facing documentation.
 M,docs/history/goals/v0_7_goal_sequence_2026-04-15.md,include,release_facing_doc,Release-facing documentation.
 M,docs/quick_tutorial.md,include,release_facing_doc,Release-facing documentation.
 M,docs/release_facing_examples.md,include,release_facing_doc,Release-facing documentation.
 M,docs/release_reports/v0_7/audit_report.md,include,release_facing_doc,Release-facing documentation.
 M,docs/release_reports/v0_7/release_statement.md,include,release_facing_doc,Release-facing documentation.
 M,docs/release_reports/v0_7/support_matrix.md,include,release_facing_doc,Release-facing documentation.
 M,docs/release_reports/v0_7/tag_preparation.md,include,release_facing_doc,Release-facing documentation.
 M,docs/reports/external_independent_release_check_review_2026-04-15.md,include,external_report_evidence,Preserved external review or release-check evidence.
 M,docs/reports/goal431_external_review_2026-04-15.md,include,goal_report_or_review,"Goal report, review, status, JSON evidence, or generated evidence."
 M,docs/tutorials/db_workloads.md,include,release_facing_doc,Release-facing documentation.
 M,examples/README.md,include,example_source,Public example or example index.
 M,src/native/embree/rtdl_embree_api.cpp,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/embree/rtdl_embree_prelude.h,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/optix/rtdl_optix_api.cpp,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/optix/rtdl_optix_prelude.h,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/optix/rtdl_optix_workloads.cpp,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/vulkan/rtdl_vulkan_api.cpp,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/vulkan/rtdl_vulkan_core.cpp,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/native/vulkan/rtdl_vulkan_prelude.h,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/__init__.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/db_perf.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/embree_runtime.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/optix_runtime.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/oracle_runtime.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,src/rtdsl/vulkan_runtime.py,include,runtime_source,Runtime or native source for the v0.7 package.
 M,tests/goal166_orbiting_star_ball_demo_test.py,include,test_source,Automated validation source for the v0.7 package.
 M,tests/goal168_hidden_star_stable_ball_demo_test.py,include,test_source,Automated validation source for the v0.7 package.
 M,tests/goal178_smooth_camera_orbit_demo_test.py,include,test_source,Automated validation source for the v0.7 package.
 M,tests/goal199_fixed_radius_neighbors_cpu_oracle_test.py,include,test_source,Automated validation source for the v0.7 package.
 M,tests/goal205_knn_rows_cpu_oracle_test.py,include,test_source,Automated validation source for the v0.7 package.
 M,tests/goal429_v0_7_rt_db_cross_engine_postgresql_correctness_gate_test.py,include,test_source,Automated validation source for the v0.7 package.
??,docs/features/db_workloads/README.md,include,release_facing_doc,Release-facing documentation.
??,docs/goal_432_v0_7_rt_db_phase_split_perf_clarification.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_433_v0_7_native_prepared_db_dataset_contract.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_434_v0_7_embree_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_435_v0_7_optix_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_436_v0_7_vulkan_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_437_v0_7_rt_db_repeated_query_perf_gate.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_438_v0_7_release_gate_refresh_after_native_prepared_db.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_439_v0_7_external_tester_report_intake.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_440_v0_7_embree_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_441_v0_7_optix_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_442_v0_7_vulkan_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_443_v0_7_columnar_repeated_query_perf_gate.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_444_v0_7_release_docs_refresh_after_columnar_transfer.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_445_v0_7_high_level_prepared_db_columnar_default.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_446_v0_7_post_columnar_db_regression_sweep.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_447_v0_7_db_columnar_packaging_readiness_audit.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_448_v0_7_db_columnar_packaging_manifest.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_449_v0_7_packaging_manifest_validation_gate.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_450_v0_7_linux_correctness_and_performance_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_451_v0_7_postgresql_baseline_index_audit.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_452_v0_7_rtdl_vs_best_tested_postgresql_perf_rebase.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_453_v0_7_release_facing_performance_wording_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_454_v0_7_post_wording_evidence_package_validation.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_455_v0_7_post_454_packaging_manifest_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_456_v0_7_pre_stage_filelist_ledger.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_457_v0_7_manual_review_path_resolution.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_458_v0_7_pre_stage_validation_gate.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_459_v0_7_dry_run_staging_command_plan.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_460_v0_7_ready_to_stage_final_hold.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_461_v0_7_db_app_demo.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_462_v0_7_db_kernel_app_demo.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_463_v0_7_post_demo_pre_stage_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_464_v0_7_linux_fresh_checkout_validation.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_465_v0_7_post_linux_fresh_pre_stage_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_466_v0_7_release_reports_refresh_after_linux_fresh.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_467_v0_7_external_test_report_response.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_468_v0_7_release_reports_refresh_after_external_response.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_469_v0_7_db_attack_report_gap_closure.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_470_v0_7_pre_release_test_doc_audit.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_471_v0_7_external_v0_6_1_expert_attack_suite_intake.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_472_v0_7_release_reports_refresh_after_goal471.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_473_v0_7_post_goal472_release_evidence_audit.md,include,goal_doc,Goal definition and acceptance criteria.
??,docs/goal_474_v0_7_post_goal473_pre_stage_refresh.md,include,goal_doc,Goal definition and acceptance criteria.
