file_path,file_category,current_role,status,correctness_status,content_freshness,dead_or_misleading_content,action_recommendation,notes
.gitignore,repo_root,repo_front_door_or_build_surface,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,no immediate dead-content signal from path alone,inspect further,
Makefile,repo_root,repo_front_door_or_build_surface,live,content-bearing surface; wording and examples require audit,active line; confirm not stale,no immediate dead-content signal from path alone,inspect further,
README.md,repo_root,repo_front_door_or_build_surface,live,front-door doc recently updated; spot-check still recommended,current release front door,no immediate dead-content signal from path alone,retain and keep aligned with live release surface,top-level front door
VERSION,repo_root,version_marker,live,machine-readable version marker; verify against live release,must exactly match the current released version,high risk if value disagrees with README or release docs,revise immediately if it disagrees with the current release tag and front door,front-door machine-readable release marker
apps/embree_remote_validation.cpp,app,native_entrypoint,live,live engineering surface; targeted correctness review still required,active line; confirm not stale,no immediate dead-content signal from path alone,retain; audit grouped by subsystem,
apps/goal15_lsi_native.cpp,app,native_entrypoint,live,live engineering surface; targeted correctness review still required,active line; confirm not stale,no immediate dead-content signal from path alone,retain; audit grouped by subsystem,
apps/goal15_pip_native.cpp,app,native_entrypoint,live,live engineering surface; targeted correctness review still required,active line; confirm not stale,no immediate dead-content signal from path alone,retain; audit grouped by subsystem,
apps/rtdsl_python_demo.py,app,native_entrypoint,live,live engineering surface; targeted correctness review still required,active line; confirm not stale,no immediate dead-content signal from path alone,retain; audit grouped by subsystem,
build/goal169_optix_orbit_smoke/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal169_vulkan_orbit_smoke/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/frame_000.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/frame_000.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/frame_001.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/frame_001.ppm,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/goal170_optix_orbit_small.gif,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_optix_orbit_small/summary.json,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
build/goal170_vulkan_orbit_medium_fix/frame_000.png,tracked_build_artifact,tracked_output,transitional,artifact or generated surface; correctness depends on source regeneration path,freshness uncertain; verify regeneration source,possible dead or duplicated artifact; review needed,"review for deletion, relocation, or regeneration policy",tracked build output deserves cleanup scrutiny
