status,path,decision,category,rationale
 M,README.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/README.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/features/README.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/history/goals/v0_7_goal_sequence_2026-04-15.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/quick_tutorial.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/release_facing_examples.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/release_reports/v0_7/audit_report.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/release_reports/v0_7/release_statement.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/release_reports/v0_7/support_matrix.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/release_reports/v0_7/tag_preparation.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,docs/reports/external_independent_release_check_review_2026-04-15.md,manual_review,legacy_or_external_report,Report is outside the v0.7 DB source package core; inspect before staging.
 M,docs/reports/goal431_external_review_2026-04-15.md,include,prior_v0_7_gate_evidence,Prior v0.7 gate evidence remains part of the release trail.
 M,docs/tutorials/db_workloads.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
 M,src/native/embree/rtdl_embree_api.cpp,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/embree/rtdl_embree_prelude.h,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/optix/rtdl_optix_api.cpp,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/optix/rtdl_optix_prelude.h,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/optix/rtdl_optix_workloads.cpp,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/vulkan/rtdl_vulkan_api.cpp,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/vulkan/rtdl_vulkan_core.cpp,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/native/vulkan/rtdl_vulkan_prelude.h,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/rtdsl/__init__.py,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/rtdsl/db_perf.py,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/rtdsl/embree_runtime.py,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/rtdsl/optix_runtime.py,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
 M,src/rtdsl/vulkan_runtime.py,include,runtime_source,Runtime/native source change in the v0.7 DB implementation package.
??,docs/features/db_workloads/README.md,include,release_facing_doc,Release-facing documentation updated for the current v0.7 evidence boundary.
??,docs/goal_432_v0_7_rt_db_phase_split_perf_clarification.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_433_v0_7_native_prepared_db_dataset_contract.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_434_v0_7_embree_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_435_v0_7_optix_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_436_v0_7_vulkan_native_prepared_db_dataset.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_437_v0_7_rt_db_repeated_query_perf_gate.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_438_v0_7_release_gate_refresh_after_native_prepared_db.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_439_v0_7_external_tester_report_intake.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_440_v0_7_embree_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_441_v0_7_optix_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_442_v0_7_vulkan_columnar_prepared_db_dataset_transfer.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_443_v0_7_columnar_repeated_query_perf_gate.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_444_v0_7_release_docs_refresh_after_columnar_transfer.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_445_v0_7_high_level_prepared_db_columnar_default.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_446_v0_7_post_columnar_db_regression_sweep.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_447_v0_7_db_columnar_packaging_readiness_audit.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_448_v0_7_db_columnar_packaging_manifest.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_449_v0_7_packaging_manifest_validation_gate.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_450_v0_7_linux_correctness_and_performance_refresh.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_451_v0_7_postgresql_baseline_index_audit.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_452_v0_7_rtdl_vs_best_tested_postgresql_perf_rebase.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_453_v0_7_release_facing_performance_wording_refresh.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_454_v0_7_post_wording_evidence_package_validation.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_455_v0_7_post_454_packaging_manifest_refresh.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_456_v0_7_pre_stage_filelist_ledger.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/goal_457_v0_7_manual_review_path_resolution.md,include,goal_doc,Goal definition and acceptance criteria belong in the evidence trail.
??,docs/handoff/GOAL432_SINGLE_SENTENCE_EXTERNAL_REVIEW_REQUEST_2026-04-15.md,include,review_handoff,External-review request trail belongs in the evidence package.
??,docs/handoff/GOAL433_SINGLE_SENTENCE_EXTERNAL_REVIEW_REQUEST_2026-04-16.md,include,review_handoff,External-review request trail belongs in the evidence package.
??,docs/handoff/GOAL434_SINGLE_SENTENCE_EXTERNAL_REVIEW_REQUEST_2026-04-16.md,include,review_handoff,External-review request trail belongs in the evidence package.
